1,"Insertion of Hybrid External Fixation Device into Left Humeral Shaft, Percutaneous Endoscopic Approach"
2,"Removal of Nonautologous Tissue Substitute from Lower Jaw, External Approach"
3,"Plain Radiography of Right Hip, Densitometry"
4,"Insertion of Intraluminal Device into Intracranial Vein, Percutaneous Endoscopic Approach"
5,"Extirpation of Matter from Pericardium, Percutaneous Endoscopic Approach"
6,"Bypass Coronary Artery, Three Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
7,Low Dose Rate (LDR) Brachytherapy of Inguinal Lymphatics using Palladium 103 (Pd-103)
8,"Revision of Drainage Device in Pituitary Gland, Percutaneous Approach"
9,Computerized Tomography (CT Scan) of Right Eye using High Osmolar Contrast
10,"Revision of Monitoring Device in Cerebral Ventricle, Percutaneous Endoscopic Approach"
11,"Reposition Left Femoral Shaft, External Approach"
12,Coordination/Dexterity Treatment of Integumentary System - Upper Back / Upper Extremity using Prosthesis
13,"Revision of Diaphragmatic Pacemaker Lead in Diaphragm, Via Natural or Artificial Opening"
14,"Drainage of Mesentery with Drainage Device, Open Approach"
15,"Destruction of Left Axillary Lymphatic, Percutaneous Endoscopic Approach"
16,"Destruction of Lower Esophagus, Via Natural or Artificial Opening Endoscopic"
17,"Bypass Right Foot Vein to Lower Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
18,"Supplement Pulmonary Trunk with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
19,"Excision of Left Thorax Bursa and Ligament, Percutaneous Endoscopic Approach"
20,"Revision of Stimulator Lead in Upper Muscle, External Approach"
21,"Restriction of Jejunum with Intraluminal Device, Via Natural or Artificial Opening"
22,"Reattachment of Vagina, Open Approach"
23,"Supplement Left Posterior Tibial Artery with Autologous Tissue Substitute, Percutaneous Approach"
24,"Inspection of Left Upper Arm, Percutaneous Approach"
25,"Fusion of Right Acromioclavicular Joint with Synthetic Substitute, Percutaneous Approach"
26,"Repair Chest Wall, Open Approach"
27,Beam Radiation of Tibia/Fibula using Neutrons
28,"Destruction of Trigeminal Nerve, Percutaneous Endoscopic Approach"
29,"Bypass Peritoneal Cavity to Left Pleural Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
30,"Drainage of Splenic Artery with Drainage Device, Percutaneous Endoscopic Approach"
31,"Extirpation of Matter from Oculomotor Nerve, Open Approach"
32,"Drainage of Right Large Intestine, Open Approach"
33,Magnetic Resonance Imaging (MRI) of Right Breast
34,"Reattachment of Left Buttock, Open Approach"
35,"Revision of Intraluminal Device in Urethra, External Approach"
36,"Repair Left External Auditory Canal, Via Natural or Artificial Opening Endoscopic"
37,Fluoroscopy of Right Brachiocephalic-Subclavian Artery using Low Osmolar Contrast
38,High Dose Rate (HDR) Brachytherapy of Salivary Glands using Other Isotope
39,Computerized Tomography (CT Scan) of Prostate using High Osmolar Contrast
40,Magnetic Resonance Imaging (MRI) of Sacrum and Coccyx using Other Contrast
41,"Dilation of Stomach, Via Natural or Artificial Opening Endoscopic"
42,"Excision of Perineum Bursa and Ligament, Percutaneous Approach, Diagnostic"
43,"Excision of Rectum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
44,"Extirpation of Matter from Right Tarsal, Open Approach"
45,"Removal of Drainage Device from Right Eye, External Approach"
46,Contact Radiation of Sinuses
47,"Fusion of Right Carpal Joint with Synthetic Substitute, Percutaneous Approach"
48,Plain Radiography of Left Pelvic (Iliac) Veins using Other Contrast
49,"Excision of Left Sublingual Gland, Open Approach, Diagnostic"
50,"Beam Radiation of Jejunum using Heavy Particles (Protons,Ions)"
51,"Removal of Autologous Tissue Substitute from Mesentery, Open Approach"
52,"Inspection of Left Finger Phalangeal Joint, Percutaneous Endoscopic Approach"
53,"Bypass Right Axillary Artery to Bilateral Upper Arm Artery with Synthetic Substitute, Open Approach"
54,"Alteration of Left External Ear with Synthetic Substitute, Open Approach"
55,"Removal of External Fixation Device from Right Wrist Joint, External Approach"
56,Fluoroscopy of Right Calcaneus
57,"Occlusion of Upper Vein with Intraluminal Device, Percutaneous Approach"
